Country,Inflation,GDP,Population
Afghanistan,-1.534,594.32,4634875
Albania,1.91,3945.22,453509
Algeria,4.785,4154.12,2594112
Angola,10.279,4101.47,5506000
Armenia,3.727,3489.13,1044443
Australia,1.508,56290.65,4505341
Austria,0.897,43636.75,1752845
Azerbaijan,4.172,5497.49,2373633
Bahrain,1.836,22600.21,411162
Bangladesh,6.194,1211.7,17598228
Belarus,13.534,5754.6,1915396
Belgium,0.558,40454.17,2044993
Benin,0.32,762.05,756605
Bolivia,4.061,3076.79,2106682
Brazil,9.028,8677.77,21066245
Bulgaria,-0.105,6993.48,1226155
Burkina Faso,0.955,589.77,2741128
Burundi,5.554,277.07,750862
Cambodia,1.221,1158.69,1731286
Cameroon,2.686,1217.26,3065692
Canada,1.125,43315.7,5992739
Central African Republic,37.142,323.2,794022
Chad,3.67,775.7,1260146
Chile,4.349,13416.23,6507400
China,1.443,8069.21,23740778
Colombia,5.005,6056.15,9764769
"Congo, Rep.",4.514,1851.2,1887625
Costa Rica,0.797,11260.09,1170188
Cote d'Ivoire,1.237,1398.99,4859798
Croatia,-0.464,11592.91,686902
Czech Republic,0.345,17556.92,1313557
Denmark,0.452,53014.64,1268052
Djibouti,2.152,1945.12,528627
Dominican Republic,0.837,6468.47,2945353
Ecuador,3.97,6205.06,2709329
"Egypt, Arab Rep.",10.357,3614.75,18771769
Estonia,-0.457,17084.52,391111
Ethiopia,10.134,619.17,3237525
Finland,-0.207,42403.47,1179916
France,0.038,36352.48,10843285
Gabon,0.605,8266.45,707225
"Gambia, The",6.809,471.54,503648
Georgia,4.004,3757.06,1147486
Germany,0.234,41178.46,3563194
Ghana,17.145,1369.7,2598789
Greece,-1.736,18006.97,3051899
Guatemala,2.389,3903.48,2918337
Guinea,8.152,531.32,1936045
Guinea-Bissau,1.405,572.99,492069
Haiti,9.017,818.34,2439775
Honduras,3.158,2528.89,1122523
"Hong Kong SAR, China",2.968,42327.84,7313557
Hungary,-0.07,12365.63,1713903
India,4.907,1593.26,25703168
Indonesia,6.363,3346.49,10323142
Iraq,1.393,4943.76,6642848
Ireland,-0.295,61093.69,1169371
Israel,-0.633,35729.37,3608265
Italy,0.039,29993.08,3717956
Jamaica,3.677,5105.79,587652
Japan,0.79,34523.7,38001018
Jordan,-0.873,4940.05,1154670
Kazakhstan,6.646,10509.98,1522637
Kenya,6.582,1376.71,3914791
"Korea, Rep.",0.706,27221.52,9773746
Kuwait,3.272,29300.58,2778724
Kyrgyz Republic,6.503,1103.23,865193
Lao PDR,1.276,1818.44,996566
Latvia,0.179,13654.85,620847
Lebanon,-3.749,8047.65,2226478
Liberia,7.783,455.87,1263800
Lithuania,-0.884,14251.78,516765
"Macao SAR, China",4.559,78585.88,584420
"Macedonia, FYR",-0.301,4852.66,502655
Madagascar,7.404,401.84,2609744
Malawi,21.869,371.99,905433
Malaysia,2.081,9768.33,6836911
Mali,1.436,724.26,2515000
Mexico,2.721,9005.02,20998543
Moldova,9.679,1848.08,725432
Mongolia,5.776,3967.83,1377308
Morocco,1.558,2878.2,3514958
Mozambique,3.551,529.24,1187214
Myanmar,10.803,1161.49,4801930
Namibia,3.406,4673.57,367987
Nepal,7.869,743.32,1182598
Netherlands,0.6,44290.87,1090772
New Zealand,0.334,37807.97,1344304
Nicaragua,3.999,2086.9,956233
Niger,1.007,358.96,1089589
Nigeria,9.018,2671.72,13122829
Norway,2.174,74481.82,986093
Oman,0.065,15550.68,838019
Pakistan,2.54,1434.7,16617644
Panama,0.126,13268.11,1672810
Paraguay,3.129,4080.95,2356174
Peru,3.555,6027.13,9897033
Philippines,1.434,2904.2,12946263
Poland,-0.991,12558.87,1722310
Portugal,0.488,19222.94,2884297
Qatar,1.884,73653.39,717790
Romania,-0.593,8980.66,1867724
Russian Federation,15.524,9329.3,12165704
Rwanda,2.518,697.35,1256994
Saudi Arabia,2.185,20481.75,6369710
Senegal,0.145,899.58,3520215
Serbia,1.392,5237.26,1181810
Sierra Leone,8.014,653.13,1007140
Singapore,-0.5,52888.74,5618866
Slovak Republic,-0.325,16089.02,400670
South Africa,4.588,5718.24,9398698
South Sudan,50.151,730.58,321115
Spain,-0.5,25684.72,6199254
Sri Lanka,0.922,3926.17,706648
Sudan,16.912,2414.72,5129358
Sweden,-0.047,50585.26,1485680
Switzerland,-1.144,80999.29,1246199
Tajikistan,5.715,925.91,822331
Tanzania,5.588,878.98,5115670
Thailand,-0.895,5814.77,9269823
Togo,1.79,559.64,956332
Tunisia,4.857,3822.36,1993487
Turkey,7.671,9125.69,14163989
Uganda,5.225,705.29,1935654
Ukraine,48.724,2114.95,2941884
United Kingdom,0.05,43929.69,10313307
United States,0.119,56115.72,18593220
Uruguay,8.666,15573.9,1706831
Zambia,10.101,1304.88,2179470
Zimbabwe,-2.399,924.14,1501363
