id,name,rate,rate2010,earnings,num,population,,,
45001,Abbeville,440,651,352246,0,36775,,,
22001,Acadia,608,900,502329,1,54147,,,
51001,Accomack,216,320,456159,2,48588,,,
16001,Ada,1038,1536,9140819,3,591000,,,
29001,Adair,684,1012,364504,4,23401,,,
40001,Adair,902,1335,209558,5,24046,,,
21001,Adair,1270,1880,150258,6,14274,,,
19001,Adair,730,1080,114947,7,16240,,,
8001,Adams,514,761,7199867,8,283446,,,
42001,Adams,803,1188,1292353,9,63570,,,
17001,Adams,1268,1877,1217534,10,83297,,,
31001,Adams,575,851,532411,11,32908,,,
18001,Adams,939,1390,531279,12,50561,,,
28001,Adams,111,164,477719,13,29197,,,
39001,Adams,1180,1746,249665,14,18298,,,
53001,Adams,416,616,225602,15,9739,,,
55001,Adams,289,428,180771,16,19260,,,
19003,Adams,536,793,55056,17,3101,,,
16003,Adams,247,366,35845,18,2624,,,
38001,Adams,294,435,31280,19,3755,,,
50001,Addison,544,805,606342,20,32198,,,
45003,Aiken,593,878,2872242,21,153151,,,
27001,Aitkin,521,771,142119,22,17499,,,
12001,Alachua,946,1400,4427387,23,453211,,,
37001,Alamance,648,959,2484544,24,85874,,,
6001,Alameda,400,592,45158382,25,1468918,,,
8003,Alamosa,242,358,258857,26,26556,,,
430,ALASKA,,0,0,27,560,,,
36001,Albany,336,497,12082836,28,456251,,,
56001,Albany,205,303,525069,29,38430,,,
51003,Albemarle,659,975,3735971,30,145405,,,
26001,Alcona,194,287,69491,31,4213,,,
28003,Alcorn,351,519,492628,32,39767,,,
2013,Aleutians East,0,0,80596,33,13212,,,
2016,Aleutians West,14,21,148401,34,12830,,,
37003,Alexander,464,687,392372,35,41433,,,
17003,Alexander,145,215,88935,36,22762,,,
51510,Alexandria,0,0,5908441,37,241627,,,
40003,Alfalfa,663,981,67333,38,6031,,,
26003,Alger,53,78,121739,39,13583,,,
19005,Allamakee,838,1240,215479,40,16618,,,
26005,Allegan,1251,1851,1735749,41,132453,,,
24001,Allegany,195,289,1103875,42,64463,,,
36003,Allegany,607,898,554982,43,43575,,,
51005,Alleghany,141,209,409990,44,26972,,,
37005,Alleghany,441,653,152306,45,10964,,,
42003,Allegheny,295,437,40643218,46,1272519,,,
18003,Allen,1223,1810,8511337,47,311628,,,
39003,Allen,811,1200,2336840,48,152253,,,
22003,Allen,324,480,305173,49,27874,,,
20001,Allen,573,848,207992,50,22517,,,
21003,Allen,1050,1554,202564,51,14768,,,
45005,Allendale,99,147,152410,52,15845,,,
26007,Alpena,360,533,491256,53,45166,,,
6003,Alpine,3,4,29932,54,2769,,,
6005,Amador,310,459,480630,55,22518,,,
51007,Amelia,248,367,110538,56,13861,,,
51009,Amherst,387,573,361551,57,21705,,,
28005,Amite,410,607,110738,58,11220,,,
2020,Anchorage,182,269,8229950,59,251646,,,
45007,Anderson,979,1449,2583193,60,107716,,,
47001,Anderson,404,598,1868098,61,149110,,,
48001,Anderson,1368,2025,732540,62,44656,,,
21005,Anderson,659,975,160926,63,19120,,,
20003,Anderson,619,916,73462,64,12239,,,
29003,Andrew,734,1086,103802,65,9486,,,
48003,Andrews,109,161,183223,66,15026,,,
23001,Androscoggin,253,374,1811673,67,103855,,,
48005,Angelina,632,935,1418612,68,65415,,,
24003,Anne Arundel,415,614,13086273,69,435880,,,
27003,Anoka,454,672,5152710,70,243502,,,
37007,Anson,298,441,333929,71,23404,,,
31003,Antelope,750,1110,100771,72,5390,,,
26009,Antrim,217,321,241558,73,21511,,,
4001,Apache,255,377,682274,74,55162,,,
19007,Appanoose,738,1092,166338,75,11413,,,
13001,Appling,475,703,266608,76,27438,,,
51011,Appomattox,314,465,141145,77,15440,,,
48007,Aransas,37,55,208005,78,15601,,,
8005,Arapahoe,214,317,19578147,79,502810,,,
48009,Archer,358,530,81917,80,7735,,,
8007,Archuleta,127,188,114192,81,12022,,,
26011,Arenac,248,367,177387,82,10439,,,
5001,Arkansas,295,437,371674,83,33954,,,
51013,Arlington,2,3,13572015,84,812426,,,
42005,Armstrong,591,875,823642,85,62161,,,
48011,Armstrong,182,269,19654,86,3464,,,
23003,Aroostook,727,1076,1073350,87,57468,,,
31005,Arthur,62,92,-1821,88,408,,,
22005,Ascension,282,417,1497279,89,93594,,,
37009,Ashe,932,1379,318098,90,30881,,,
39005,Ashland,839,1242,737613,91,41949,,,
55003,Ashland,177,262,309599,92,22571,,,
5003,Ashley,218,323,410270,93,29267,,,
39007,Ashtabula,919,1360,1248757,94,55394,,,
53003,Asotin,107,158,200344,95,9695,,,
22007,Assumption,47,70,247707,96,22159,,,
48013,Atascosa,1074,1590,364405,97,24919,,,
20005,Atchison,588,870,245220,98,26298,,,
29005,Atchison,375,555,76194,99,5696,,,
39009,Athens,462,684,806774,100,51592,,,
13003,Atkinson,217,321,83929,101,6385,,,
